Bulan;Kebun;Afdeling;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Pot.;Kg Pot.;BJR Akt.;BJR Pot.;Ton/ha Akt.;Ton/ha Pot.;% Cap.;Gap Ton/Ha;Gap %
AGT;Estate 1;Afdeling 2;799,6;114985; -   ; -   ;169824;1405327,8;#DIV/0!;8,3; -   ;1,8; -   ;-1,8;100
AGT;Estate 1;Afdeling 3;675,7;98117; -   ; -   ;145867,3;1237882,4;#DIV/0!;8,5; -   ;1,8; -   ;-1,8;100
AGT;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;121613;805978,3;#DIV/0!;6,6; -   ;1,8; -   ;-1,8;100
AGT;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;210858,3;1440410,5;#DIV/0!;6,8; -   ;1,7; -   ;-1,7;100
AGT;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
AGT;Plasma;Plasma 2;218,5;31449; -   ; -   ;55350,2;297160;#DIV/0!;5,4; -   ;1,4; -   ;-1,4;100
AGT;Mitra;Mitra 1;67,6;9688; -   ; -   ;15279,4;106305,8;#DIV/0!;7; -   ;1,6; -   ;-1,6;100
AGT;Mitra;Mitra 2;137,6;19739; -   ; -   ;34477,5;210252,8;#DIV/0!;6,1; -   ;1,5; -   ;-1,5;100
SEP;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;191760,5;1780224;#DIV/0!;9,3; -   ;1,9; -   ;-1,9;100
SEP;Estate 1;Afdeling 2;799,6;114985; -   ; -   ;169824;1405327,8;#DIV/0!;8,3; -   ;1,8; -   ;-1,8;100
SEP;Estate 1;Afdeling 3;675,7;98117; -   ; -   ;145867,3;1237882,4;#DIV/0!;8,5; -   ;1,8; -   ;-1,8;100
SEP;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;121613;805978,3;#DIV/0!;6,6; -   ;1,8; -   ;-1,8;100
SEP;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;210858,3;1440410,5;#DIV/0!;6,8; -   ;1,7; -   ;-1,7;100
SEP;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
SEP;Plasma;Plasma 2;218,5;31449; -   ; -   ;55350,2;297160;#DIV/0!;5,4; -   ;1,4; -   ;-1,4;100
SEP;Mitra;Mitra 1;67,6;9688; -   ; -   ;15279,4;106305,8;#DIV/0!;7; -   ;1,6; -   ;-1,6;100
